domain,name,iteration,size,span,ns,us
mono,DllImportCustomMarshaller,1,655360,00:00:00.2831749,863.914337158203,0.863914337158203
mono,ManagedStatic,1,1310720,00:00:00.0031140,4.66461181640625,0.00466461181640625
mono,ManagedVirtual,1,1310720,00:00:00.0055975,8.08525085449219,0.00808525085449219
mono,DllImportDirect,1,1310720,00:00:00.2814488,429.114379882813,0.429114379882813
mono,DllImportCustomMarshaller,1,1310720,00:00:00.5665563,864.071884155274,0.864071884155274
mono,ManagedStatic,1,2621440,00:00:00.0062256,4.6636962890625,0.0046636962890625
mono,ManagedVirtual,1,2621440,00:00:00.0115322,8.59535217285156,0.00859535217285156
mono,DllImportDirect,1,2621440,00:00:00.5648768,430.63232421875,0.43063232421875
mono,DllImportCustomMarshaller,1,2621440,00:00:01.1363034,866.814956665039,0.866814956665039
mono,ManagedStatic,1,5242880,00:00:00.0125437,4.68133926391602,0.00468133926391602
mono,ManagedVirtual,1,5242880,00:00:00.0227279,8.53116989135742,0.00853116989135742
mono,DllImportDirect,1,5242880,00:00:01.1229452,428.189315795898,0.428189315795898
mono,DllImportCustomMarshaller,1,5242880,00:00:02.2640022,863.647880554199,0.863647880554199
mono,DllImportWithCallback,1,15,00:00:00.0001129,7526.66666666667,7.52666666666667
mono,DllImportWithCallback,1,40,00:00:00.0000054,135,0.135
mono,DllImportWithCallback,1,100,00:00:00.0000124,124,0.124
mono,DllImportWithCallback,1,240,00:00:00.0000284,118.333333333333,0.118333333333333
mono,DllImportWithCallback,1,560,00:00:00.0000658,117.5,0.1175
mono,DllImportWithCallback,1,1280,00:00:00.0001488,116.25,0.11625
mono,DllImportWithCallback,1,2880,00:00:00.0003327,115.520833333333,0.115520833333333
mono,DllImportWithCallback,1,6400,00:00:00.0007371,115.171875,0.115171875
mono,DllImportWithCallback,1,14080,00:00:00.0016228,186.278409090909,0.186278409090909
mono,DllImportWithCallback,1,30720,00:00:00.0035304,212.578125,0.212578125
mono,DllImportWithCallback,1,66560,00:00:00.0077401,221.455829326923,0.221455829326923
mono,DllImportWithCallback,1,143360,00:00:00.0164405,226.286969866071,0.226286969866071
mono,DllImportWithCallback,1,307200,00:00:00.0352799,228.775716145833,0.228775716145833
mono,DllImportWithCallback,1,655360,00:00:00.0752039,229.192962646484,0.229192962646484
mono,DllImportWithCallback,1,1392640,00:00:00.1599924,229.055893841912,0.229055893841912
mono,DllImportWithCallback,1,2949120,00:00:00.3385989,229.423997667101,0.229423997667101
mono,DllImportWithCallback,1,6225920,00:00:00.7149103,229.509903757196,0.229509903757196
mono,DllImportWithCallback,1,13107200,00:00:01.5051386,229.655349731445,0.229655349731445
mono,DllImportWithCallback,1,27525120,00:00:03.1621796,229.760291689918,0.229760291689918
mono,DllImportWithCallback,1,57671680,00:00:06.6234294,229.686900052157,0.229686900052157
mono,ManagedStatic,2,10,00:00:00.0000004,40,0.04
mono,ManagedVirtual,2,10,00:00:00.0000002,20,0.02
mono,DllImportDirect,2,10,00:00:00.0000066,660,0.66
mono,DllImportCustomMarshaller,2,10,00:00:00.0000118,1180,1.18
mono,ManagedStatic,2,20,00:00:00.0000001,5,0.005
mono,ManagedVirtual,2,20,00:00:00.0000001,5,0.005
mono,DllImportDirect,2,20,00:00:00.0000046,230,0.23
mono,DllImportCustomMarshaller,2,20,00:00:00.0000091,455,0.455
mono,ManagedStatic,2,40,00:00:00.0000001,2.5,0.0025
